Date,btc_tweets,btc_activeaddresses,btc_mining_profitability,btc_transactionfees,btc_median_transaction_fee,btc_mediantransactionvalue,sub_growth_%chg,btc_gtrends,buybitcoin_gtrends,ETH_gtrends,crypto_gtrends
2017-12-31,64989,847972,2.281,25.17,15.291,2182.0,0.007038666025700913,48.21428571428571,0.0,1.2959761138364567,6.29133762253748
2018-01-01,62044,842391,2.174,26.274,14.625,2104.0,0.007324337033500994,46.42857142857144,0.0,1.2959761138364567,6.29133762253748
2018-01-02,77723,982159,2.431,26.522,12.574,3921.0,0.007730828535457146,53.571428571428584,0.0,1.2959761138364567,10.485562704229134
2018-01-03,79086,953442,2.737,28.461,15.529,4847.0,0.008254079663098768,55.35714285714286,0.0,2.5919522276729134,10.485562704229134
2018-01-04,74534,1071574,2.606,27.264,15.519,5033.0,0.00822827547319549,53.571428571428584,0.0,2.5919522276729134,14.679787785920787
2018-01-05,76404,951484,2.631,32.515,17.298,4727.0,0.009044899988262411,51.78571428571429,0.0,2.5919522276729134,12.58267524507496
2018-01-06,62977,1043134,3.139,32.498,17.516,2963.0,0.00908014752673747,44.64285714285714,0.0,2.5919522276729134,12.58267524507496
2018-01-07,67259,994708,2.865,31.195,19.153,5417.0,0.010815759137451586,44.64285714285714,0.0,2.5919522276729134,12.58267524507496
2018-01-08,30585,1022976,2.754,31.109,17.684,3739.0,0.010156643075168503,50.0,0.0,2.5919522276729134,12.58267524507496
2018-01-09,80932,985166,2.653,31.427,18.026,4131.0,0.00940370171139393,48.21428571428571,0.0,2.5919522276729134,12.58267524507496
2018-01-10,82357,989424,2.427,29.724,16.449,4016.0,0.008934504424487733,50.0,0.0,2.5919522276729134,12.58267524507496
2018-01-11,100333,1077376,2.554,28.626,15.932,3252.0,0.008516298996433136,57.142857142857146,0.0,2.5919522276729134,12.58267524507496
2018-01-12,80737,984432,2.217,28.751,15.923,3225.0,0.006937843901745122,46.42857142857144,0.0,2.5919522276729134,10.485562704229134
2018-01-13,63396,834309,1.921,28.579,16.543,3769.0,0.00597179770374745,41.07142857142858,0.0,2.5919522276729134,8.388450163383308
2018-01-14,65657,813222,2.003,28.909,14.335,2761.0,0.006300187665164492,35.714285714285715,0.0,2.5919522276729134,8.388450163383308
2018-01-15,76852,813490,2.053,25.987,13.139,2885.0,0.006514472023292361,37.5,0.0,2.5919522276729134,8.388450163383308
2018-01-16,102135,874574,1.867,24.48,12.664,2746.0,0.007518465300360377,76.78571428571429,0.0,2.5919522276729134,14.679787785920787
2018-01-17,111394,957141,1.529,22.989,12.331,2530.0,0.008506965077657247,100.0,0.0,2.5919522276729134,12.58267524507496
2018-01-18,100366,931879,1.748,24.552,13.174,2665.0,0.006611713773576611,69.64285714285714,0.0,2.5919522276729134,10.485562704229134
2018-01-19,57244,858958,1.717,23.337,11.901,2140.0,0.00538525524507838,50.0,0.0,1.2959761138364567,8.388450163383308
2018-01-20,75149,846869,1.607,22.403,12.21,1675.0,0.00477419117601996,41.07142857142858,0.0,1.2959761138364567,6.29133762253748
2018-01-21,76295,864703,1.6,19.1,10.15,1186.0,0.004849098494644544,39.285714285714285,0.0,1.2959761138364567,6.29133762253748
2018-01-22,93708,809424,1.373,14.38,7.126,1588.0,0.005026010209842058,46.42857142857144,0.0,1.2959761138364567,6.29133762253748
2018-01-23,81995,784072,1.345,11.364,5.142,888.717,0.005079391922498511,44.64285714285714,0.0,1.2959761138364567,6.29133762253748
2018-01-24,78855,848037,1.474,12.569,5.85,1582.0,0.005053722087349444,41.07142857142858,0.0,1.2959761138364567,8.388450163383308
2018-01-25,79509,750794,1.174,10.635,5.687,1411.0,0.004585866920174819,37.5,0.0,1.2959761138364567,6.29133762253748
2018-01-26,73227,723781,1.227,10.523,5.544,1307.0,0.0036781335555291506,37.5,0.0,1.2959761138364567,6.29133762253748
2018-01-27,63956,778222,1.166,9.824,5.114,1080.0,0.004726099692833108,32.142857142857146,0.0,1.2959761138364567,6.29133762253748
2018-01-28,66645,641321,1.316,8.529,5.036,928.839,0.008298167438840931,30.357142857142854,0.0,1.2959761138364567,6.29133762253748
2018-01-29,82322,653494,1.136,7.143,4.864,1001.0,0.00516269513758405,32.142857142857146,0.0,1.2959761138364567,6.29133762253748
2018-01-30,84246,707495,1.115,7.309,4.616,1279.0,0.004728545389959482,35.714285714285715,0.0,1.2959761138364567,6.29133762253748
2018-01-31,81651,579948,0.912,8.068,3.786,1751.0,0.004555597415017321,37.5,0.0,1.2959761138364567,6.29133762253748
2018-02-01,93008,726833,1.226,8.108,3.803,1389.0,0.0042060685087208505,50.0,0.0,1.2959761138364567,8.388450163383308
2018-02-02,102640,763496,0.952,10.181,3.921,1757.0,0.0037632864119505616,66.07142857142858,0.0,1.2959761138364567,8.388450163383308
2018-02-03,76444,620918,0.914,6.859,3.709,983.301,0.0033027102830485155,42.857142857142854,0.0,1.2959761138364567,4.194225081691654
2018-02-04,78202,595294,0.981,5.663,3.142,968.684,0.0028867767369153974,37.5,0.0,1.2959761138364567,6.29133762253748
2018-02-05,99959,777110,0.781,6.193,2.559,987.981,0.0038114091974423836,64.28571428571429,0.0,1.2959761138364567,8.388450163383308
2018-02-06,109734,849088,0.676,4.614,2.191,921.674,0.0035589205363315557,83.92857142857143,0.0,1.2959761138364567,8.388450163383308
2018-02-07,95072,694798,0.727,4.588,2.517,931.117,0.0030324249234834344,50.0,0.0,1.2959761138364567,6.29133762253748
2018-02-08,101569,651284,0.677,4.195,2.377,717.741,0.007183754356136385,42.857142857142854,0.0,1.2959761138364567,4.194225081691654
2018-02-09,89542,689413,0.803,4.127,2.405,847.748,0.00268307816142066,37.5,0.0,1.2959761138364567,4.194225081691654
2018-02-10,77570,593126,0.858,4.248,2.288,838.92,0.002692622882277229,30.357142857142854,0.0,1.2959761138364567,4.194225081691654
2018-02-11,75335,730277,0.704,3.469,2.059,543.462,0.002974502674272461,28.571428571428573,0.0,1.2959761138364567,4.194225081691654
2018-02-12,83783,781308,0.834,3.245,1.762,751.385,0.003226217730893488,32.142857142857146,0.0,1.2959761138364567,4.194225081691654
2018-02-13,73084,729810,0.761,3.247,1.677,826.634,0.0029561440830152552,28.571428571428573,0.0,1.2959761138364567,4.194225081691654
2018-02-14,72888,815887,0.875,2.942,1.382,796.19,0.002561785867756683,28.571428571428573,0.0,1.2959761138364567,4.194225081691654
2018-02-15,74208,640344,0.793,3.183,1.693,931.582,0.0029673753564971594,30.357142857142854,0.0,1.2959761138364567,4.194225081691654
2018-02-16,74964,637546,0.955,3.124,1.217,814.176,0.0022956514116339033,28.571428571428573,0.0,1.2959761138364567,4.194225081691654
2018-02-17,69716,680664,0.88,3.001,1.103,776.008,0.0025910417737156077,25.0,0.0,1.2959761138364567,4.194225081691654
2018-02-18,62968,631438,1.012,3.014,1.077,741.691,0.00214271694327528,28.571428571428573,0.0,1.2959761138364567,4.194225081691654
2018-02-19,69225,688075,0.986,2.965,0.785,764.86,0.002497211718941239,25.0,0.0,1.2959761138364567,4.194225081691654
2018-02-20,75215,610136,0.993,3.042,0.529,980.863,0.0029197238744409493,26.785714285714292,0.0,1.2959761138364567,4.194225081691654
2018-02-21,69562,615201,0.942,2.153,0.204,1085.0,0.002564907306197961,26.785714285714292,0.0,1.2959761138364567,4.194225081691654
2018-02-22,66124,633718,0.808,2.121,0.205,941.308,0.0022399015522787113,26.785714285714292,0.0,1.2959761138364567,4.194225081691654
2018-02-23,62576,643584,0.88,4.015,0.675,864.775,0.0020033281096014655,23.21428571428572,0.0,1.2959761138364567,4.194225081691654
2018-02-24,56616,627718,0.905,6.209,2.378,845.477,0.0019993228100159133,19.642857142857142,0.0,0.0,2.097112540845827
2018-02-25,63393,443104,0.865,2.763,1.344,832.952,0.0019953334942472978,19.642857142857142,0.0,1.2959761138364567,4.194225081691654
2018-02-26,66533,517139,0.81,2.464,0.454,841.119,0.001991360066806891,21.428571428571427,0.0,1.2959761138364567,4.194225081691654
2018-02-27,64827,594737,0.92,2.436,0.473,894.683,0.001987402432965135,23.21428571428572,0.0,1.2959761138364567,4.194225081691654
2018-02-28,68823,680281,0.847,2.878,0.596,815.604,0.001983460498744316,19.642857142857142,0.0,1.2959761138364567,4.194225081691654
2018-03-01,61852,692152,1.005,2.377,0.671,900.775,0.0019795341709103464,19.642857142857142,0.0,1.2959761138364567,4.194225081691654
2018-03-02,61317,595877,0.907,2.371,0.601,825.787,0.0019756233569665493,19.642857142857142,0.0,1.2959761138364567,2.097112540845827
2018-03-03,0,754220,1.031,2.44,0.597,561.935,0.00199292934111428,19.642857142857142,0.0,1.2959761138364567,4.194225081691654
2018-03-04,0,651221,0.877,2.356,0.617,571.312,0.0016874467713694496,17.857142857142858,0.0,1.2959761138364567,2.097112540845827
2018-03-05,0,661842,0.88,2.552,0.521,782.433,0.0008185380382548235,19.642857142857142,0.0,1.2959761138364567,4.194225081691654
2018-03-06,0,706253,0.894,1.999,0.457,653.922,0.0008178685817104014,19.642857142857142,0.0,1.2959761138364567,4.194225081691654
2018-03-07,0,771278,0.789,1.699,0.306,625.032,0.0008172002193260752,23.21428571428572,0.0,1.2959761138364567,4.194225081691654
