Date,Close,vol%_chg1d,vol%_chg3d,vol%_chg8d,range,range%,Target,Target_1d
2018-01-08,15170.099609375,0.1605886379890309,-0.2276340032148264,0.5172581844782949,1.1639687056268466,0.06518805825728369,0,0.0
2018-01-09,14595.400390625,-0.09524870089094162,-0.09034325966858248,0.6188588059701492,1.074424570160843,-0.07693001971026381,0,1.0
2018-01-10,14973.2998046875,0.11049224467503094,0.16606580513240465,0.09819193790718295,1.093644062688818,0.017888172945540237,1,0.0
2018-01-11,13405.7998046875,-0.1063035376617546,-0.10208591503523123,-0.020021466983360825,1.1459571152723584,0.0478337096760022,0,1.0
2018-01-12,13980.599609375,-0.27025360537604803,-0.2757683057981204,-0.44610066556804195,1.081455591085992,-0.05628615881584398,1,1.0
2018-01-13,14360.2001953125,0.05784165371712091,-0.31010553496205384,-0.46463428944295815,1.0506794235814878,-0.028458096437967373,1,0.0
2018-01-14,13772.0,-0.13158515660494685,-0.3296218357544649,-0.39479435462047374,1.0937443325812104,0.04098767714792184,0,1.0
2018-01-15,13819.7998046875,0.1503685775618524,0.05678079523649071,-0.19634441173602335,1.058922259922095,-0.03183748854445356,1,0.0
2018-01-16,11490.5,0.4786366443882337,0.4771537908643082,0.023889570669508586,1.357845499118834,0.2822900703010349,0,0.0
2018-01-17,11188.599609375,-0.0012305075941588806,0.6988840680556627,0.13028814413888146,1.2420378388119169,-0.08528780364339672,0,1.0
2018-01-18,11474.900390625,-0.20234089923584742,0.17799665642811213,-0.18812163796601888,1.1064473205106238,-0.10916778383418135,1,1.0
2018-01-19,11607.400390625,-0.2849457802334944,-0.4303323380719679,-0.3504091454154198,1.0734597993222164,-0.02981391032081282,1,1.0
2018-01-20,12899.2001953125,0.09881384411677674,-0.37327009061485783,-0.021880163728654423,1.1241227656049804,0.0471959604959149,1,0.0
2018-01-21,11600.099609375,-0.15815691979365376,-0.3385542309129467,-0.22160049863399545,1.1424230760879053,0.01627963692477663,0,0.0
2018-01-22,10931.400390625,0.06061496194107718,-0.018900581503549785,-0.049322839429299714,1.1685709422070358,0.022888075938268804,0,0.0
2018-01-23,10868.400390625,-0.08320750444830782,-0.18142223172419014,-0.24235266548147105,1.1231921369834779,-0.03883273456881675,0,1.0
2018-01-24,11359.400390625,0.02902305645986103,0.0005848083407644644,-0.4727328185434714,1.0809790223268967,-0.03758316432836828,1,0.0
2018-01-25,11259.400390625,-0.10741586473338782,-0.15793557703613936,-0.5287898511185172,1.065865373320929,-0.013981445239736878,0,0.0
