Date,Close,vol%_chg1d,vol%_chg3d,vol%_chg8d,range,range%,Target,Target_1d,JPY%,Close_JPY,btc_tweets,btc_activeaddresses,btc_mining_profitability,btc_transactionfees,btc_median_transaction_fee,btc_mediantransactionvalue,sub_growth_%chg,btc_gtrends,buybitcoin_gtrends,ETH_gtrends,crypto_gtrends
2017-12-31,,,,,,,,,,,64989,847972,2.281,25.17,15.290999999999999,2182.0,0.007038666025700913,48.21428571428571,0.0,1.2959761138364567,6.291337622537481
2018-01-01,,,,,,,,,,,62044,842391,2.174,26.274,14.625,2104.0,0.007324337033500994,46.42857142857143,0.0,1.2959761138364567,6.291337622537481
2018-01-02,,,,,,,,,0.0009230493362455404,112.7699966430664,77723,982159,2.431,26.522,12.574000000000002,3921.0,0.007730828535457145,53.57142857142858,0.0,1.2959761138364567,10.485562704229134
2018-01-03,,,,,,,,,-0.004664302233091444,112.24400329589844,79086,953442,2.737,28.461,15.529000000000002,4847.0,0.00825407966309877,55.35714285714286,0.0,2.591952227672913,10.485562704229134
2018-01-04,,,,,,,,,0.003234016533118611,112.60700225830078,74534,1071574,2.6060000000000003,27.264,15.519,5033.0,0.00822827547319549,53.57142857142858,0.0,2.591952227672913,14.679787785920787
2018-01-05,,,,,,,,,0.0015629123368650075,112.78299713134766,76404,951484,2.6310000000000002,32.515,17.298,4727.0,0.009044899988262413,51.78571428571429,0.0,2.591952227672913,12.582675245074961
2018-01-06,,,,,,,,,,,62977,1043134,3.139,32.498000000000005,17.516,2963.0,0.00908014752673747,44.64285714285714,0.0,2.591952227672913,12.582675245074961
2018-01-07,,,,,,,,,,,67259,994708,2.865,31.195,19.153,5417.0,0.010815759137451586,44.64285714285714,0.0,2.591952227672913,12.582675245074961
2018-01-08,15170.099609375,0.1605886379890309,-0.2276340032148264,0.5172581844782949,1.1639687056268466,0.06518805825728369,0.0,0.0,0.0032895224165176984,113.15399932861328,30585,1022976,2.7539999999999996,31.109,17.684,3739.0,0.010156643075168505,50.0,0.0,2.591952227672913,12.582675245074961
2018-01-09,14595.400390625,-0.09524870089094163,-0.09034325966858248,0.6188588059701492,1.074424570160843,-0.07693001971026381,0.0,1.0,-0.00011489199107750371,113.14099884033205,80932,985166,2.653,31.427,18.026,4131.0,0.00940370171139393,48.21428571428571,0.0,2.591952227672913,12.582675245074961
2018-01-10,14973.2998046875,0.11049224467503094,0.16606580513240465,0.09819193790718296,1.093644062688818,0.017888172945540237,1.0,0.0,-0.0034116862222403066,112.75499725341795,82357,989424,2.427,29.724,16.449,4016.0,0.008934504424487733,50.0,0.0,2.591952227672913,12.582675245074961
2018-01-11,13405.7998046875,-0.1063035376617546,-0.10208591503523123,-0.020021466983360825,1.1459571152723584,0.0478337096760022,0.0,1.0,-0.011626952607083685,111.44400024414062,100333,1077376,2.5540000000000003,28.625999999999998,15.932,3252.0,0.008516298996433136,57.14285714285714,0.0,2.591952227672913,12.582675245074961
2018-01-12,13980.599609375,-0.27025360537604803,-0.2757683057981204,-0.446100665568042,1.081455591085992,-0.05628615881584398,1.0,1.0,-0.0013459811703662172,111.29399871826172,80737,984432,2.217,28.750999999999998,15.923,3225.0,0.006937843901745122,46.42857142857143,0.0,2.591952227672913,10.485562704229134
2018-01-13,14360.2001953125,0.05784165371712091,-0.31010553496205384,-0.4646342894429582,1.0506794235814878,-0.028458096437967376,1.0,0.0,-0.0017431330204221718,111.0999984741211,63396,834309,1.921,28.579,16.543,3769.0,0.00597179770374745,41.071428571428584,0.0,2.591952227672913,8.388450163383308
2018-01-14,13772.0,-0.13158515660494685,-0.3296218357544649,-0.39479435462047374,1.0937443325812104,0.040987677147921835,0.0,1.0,-0.0017431330204221718,111.0999984741211,65657,813222,2.003,28.909000000000002,14.335,2761.0,0.0063001876651644926,35.714285714285715,0.0,2.591952227672913,8.388450163383308
